City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
135,Tabuk,PH,75.96,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
143,Butaritari,KI,81.14,light rain,3.0707,172.7902,Isles Sunset Lodge
154,Takoradi,GH,84.09,overcast clouds,4.8845,-1.7554,Raybow International Hotel
161,Ishigaki,JP,78.49,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
164,Sao Jose Da Coroa Grande,BR,81.72,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
167,Rodrigues Alves,BR,87.8,few clouds,-7.738,-72.6509,Pousada Aconchego
169,Faanui,PF,81.18,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
173,Samarai,PG,82.09,broken clouds,-10.6167,150.6667,Nuli Sapi
174,San Patricio,US,89.08,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
176,Kalabo,ZM,77.0,scattered clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
180,Surin,TH,86.41,broken clouds,14.8818,103.4936,One Fu Hotel
183,Barcarena,BR,81.19,overcast clouds,-1.5058,-48.6258,Dos Santos Hotel
193,Tual,ID,84.94,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
196,Coari,BR,87.12,broken clouds,-4.085,-63.1414,Dellrey Hotel Center
200,Komsomolskiy,UZ,82.98,clear sky,40.4272,71.7189,Ikathouse
202,Awjilah,LY,86.85,clear sky,29.1081,21.2869,المنزل
204,Bathsheba,BB,82.65,overcast clouds,13.2167,-59.5167,Atlantis Hotel
206,Marsh Harbour,BS,79.66,clear sky,26.5412,-77.0636,Abaco Beach Resort
207,Galesong,ID,78.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
208,Freetown,SL,79.21,overcast clouds,8.484,-13.2299,The Country Lodge Hotel
209,Soyo,AO,80.04,light rain,-6.1349,12.3689,Hotel Mpampa
213,Srandakan,ID,78.51,overcast clouds,-7.9386,110.2506,Puri Brata
214,Fomboni,KM,82.27,light rain,-12.28,43.7425,Auberge les abou
219,Kloulklubed,PW,81.45,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
220,Suba,PH,85.32,scattered clouds,10.8438,121.0102,Jarnchi Pension House
221,Saint-Paul,RE,75.31,few clouds,-21.0096,55.2707,Boucan Canot
225,Sayhat,SA,79.18,clear sky,26.4852,50.0405,OYO 426 Royal Al Khaleej Furnished Apartments
227,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
228,Villarrobledo,ES,76.86,few clouds,39.2699,-2.6012,Hotel Castillo
231,Porto Novo,BJ,86.58,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
234,Almeirim,BR,81.37,broken clouds,-1.5233,-52.5817,Ricácio Hotel
237,Malanje,AO,76.1,scattered clouds,-9.5402,16.341,Hotel Ginga
238,Galle,LK,82.42,overcast clouds,6.0367,80.217,Amangalla
240,Belaguntha,IN,82.31,overcast clouds,19.8833,84.65,ଗୋପାଳ ସମାଜ ସଭା ଗୃହ
248,Presidente Medici,BR,85.44,clear sky,-11.1753,-61.9014,Oliveira Palace Hotel
250,Balikpapan,ID,79.79,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
255,Lazaro Cardenas,MX,83.44,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
258,Cayenne,GF,85.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
259,Coahuayana,MX,85.08,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
262,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
263,Ixtapa,MX,78.03,few clouds,20.7,-105.2,hotel la terminal
272,Bonthe,SL,80.28,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
275,Maracaibo,VE,88.48,overcast clouds,10.6317,-71.6406,Motel Aladdin
276,Inirida,CO,76.86,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
280,Canaveral,HN,87.82,broken clouds,14.9833,-88.0167,Campamento JERUSALÉM
281,Ende,ID,78.24,scattered clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
282,Talara,PE,77.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
290,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
292,Tiarei,PF,75.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
294,Letpadan,MM,84.06,light rain,17.7833,95.75,AUNG MYO KYAW
297,Namibe,AO,76.68,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
298,Port Moresby,PG,77.83,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
299,Edgewater,US,87.17,clear sky,28.9889,-80.9023,Islander Beach Resort
300,Aden,YE,85.46,broken clouds,12.7794,45.0367,Sama Emirate Hotel
301,Calabozo,VE,87.93,overcast clouds,8.9242,-67.4293,Hotel Giardini
304,Santa Cruz De Tenerife,ES,80.58,few clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
305,Arrecife,ES,80.58,clear sky,28.963,-13.5477,Hotel Lancelot
306,Bubaque,GW,77.61,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
307,Sabha,LY,86.02,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
310,Puerto Rondon,CO,78.78,overcast clouds,6.2805,-71.1,Urbanización Santa Clara
311,Kieta,PG,78.87,light rain,-6.2167,155.6333,Uruna Bay Retreat
312,San Rafael,AR,76.14,few clouds,-34.6177,-68.3301,Hotel San Rafael
318,Tarauaca,BR,87.84,few clouds,-8.1614,-70.7656,Flat Temporada
319,Tautira,PF,80.19,light rain,-17.7333,-149.15,Pension Oaoa
326,Vaitape,PF,81.19,moderate rain,-16.5167,-151.75,Conrad Bora Bora Nui
327,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
335,Bandarbeyla,SO,83.43,clear sky,9.4942,50.8122,JABIR HOTEL
336,Mattru,SL,84.33,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
339,Todos Santos,MX,75.79,broken clouds,23.45,-110.2167,Hotel California Todos Santos
342,Macapa,BR,85.98,broken clouds,0.0389,-51.0664,Atalanta Hotel
343,Qui Nhon,VN,78.26,broken clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
345,Navolato,MX,78.98,few clouds,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
347,Kavaratti,IN,85.17,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
349,Nurota,UZ,82.02,broken clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
351,Jiwani,PK,83.66,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
353,Pucallpa,PE,87.84,broken clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
356,Nishihara,JP,76.68,mist,26.1842,127.7558,Minshuku Agaihama
359,Acari,PE,77.54,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
363,Alta Floresta,BR,86.05,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
